,clouds,date,humidity,temp,type,visibility,windSpeed,zipcode,day_of_week,is_weekend_False,is_weekend_True,month,season_fall,season_spring,season_summer,season_winter,part_of_day_afternoon,part_of_day_evening,part_of_day_morning,part_of_day_night,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
A4738CE3-31CB-4ED5-92C3-221622C6AB13,90,2018-05-16T10:26:51.260Z,100,59.0,0,8.0,3.0,10923,2,1,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7F333C71-DB92-4CB2-B7F5-5FF27D3D6154,90,2018-07-23T13:06:57.276Z,100,74.0,0,5.0,8.0,7114,0,1,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
D84175CE-DAAA-40FC-9AF4-9E2E528C0999,1,2018-03-28T14:31:43.812Z,82,59.0,0,10.0,8.0,34117,2,1,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68F4BF4B-11B8-485D-AC58-3F131C14F527,20,2018-08-23T19:24:22.283Z,41,76.0,0,10.0,9.0,10954,3,1,0,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
91178ECC-84A5-41E0-A438-F210F77A1F8A,20,2018-07-18T11:02:07.410Z,82,65.0,0,10.0,12.0,10923,2,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6ca3ae80-6086-11e7-be36-e17cbde4202e,90,2017-07-04T07:00:12.265Z,94,61.0,0,10.0,5.0,94103,1,1,0,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
AEFE8FBA-7D4D-4540-8575-852A5CA81953,90,2018-06-23T17:12:33.706Z,72,64.0,0,10.0,6.0,10956,5,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
f7bbe250-64d4-11e8-b9fa-c5edf29718b7,75,2018-05-31T13:17:28.693Z,82,65.0,0,10.0,7.0,10701,3,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73161280-6086-11e7-be36-e17cbde4202e,90,2017-07-04T07:00:23.080Z,94,61.0,0,10.0,5.0,94103,1,1,0,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
6232A15C-A14D-4F6B-BF99-540C8C2CC3C0,40,2018-07-29T23:47:46.846Z,42,79.0,0,10.0,2.0,10901,6,0,1,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
